age, deltaL
0.0032974901389342115, 0.024244403688161498
0.9855726955254627, 5.355877697660979
1.9847750169585203, 4.585898047885836
2.967772529708816, 8.803733386930631
3.979379694997864, 8.905484511217747
4.977545662387257, 9.733562796774113
5.977250458508154, 8.188767178353391
6.9750709745496575, 9.54953144235359
7.974681556666585, 8.150013818053916
8.961855890259528, 5.927191417732333
9.969537472049847, 12.082192297063035
-0.009704042408863689, 0.07260759239252934
1.0011180061804386, 1.3850086676883624
1.9836444489108858, 6.32923397733839
2.9808996809285735, 8.561666206064867
3.9662211391101168, 9.195977690123858
4.977231615707359, 10.217822777177599
5.9768421978242845, 8.818305152877922
6.9762643519332705, 7.70934351682034
7.975403864030351, 7.036215863125895
8.975108660151244, 5.491420244705173
9.971547370801197, 8.982928422480718
0.029237745898550327, 0.024370022360120203
0.9734190890133911, 4.096738939275934
1.975856091249403, -1.6611185086551252
3.0115506368866667, 1.2978921186845191
3.9721252166922087, 0.09189005853829713
4.9832927166294, 0.871605155390295
5.969933170866518, -0.5279752782453606
6.9823568575233015, -1.685300103007311
7.979455066201041, 0.7892621159209057
8.978406150290178, 0.406690450468556
9.990264552923147, 0.12103359043288009
0.016299022686732112, -0.024118785016209898
0.9917594151194631, -4.184043916287717
2.012756576137477, 1.4383337939351293
2.987274828530513, -1.268811396125919
3.972282240032158, -0.1502399316634424
4.971484561465216, -0.9202195814385838
5.982243800718539, 0.4890334899379418
6.993097253975831, 1.7530085671934277
7.980491420244707, -0.808795819410598
8.978877220310027, -0.31969952013667324
9.977451448383288, -0.12115920910484235
0.016236213350752426, 0.07273321106448805
1.0040386403034947, -3.1186091500640636
1.9880725070974545, -0.49883174635077765
2.9785443308293345, -7.806383940908976
3.9928522975655096, -11.869268648091854
4.991897595658619, -12.397118307665252
5.986043765545311, -5.370512272944254
6.987507223073637, -9.627163781624503
7.985139311107204, -7.97584352938221
8.968764917217296, -4.726528151144386
9.970071351405675, -8.741049669622896
-0.022642765620682015, 0.024118785016202793
0.978883501243625, -4.329384719744745
1.9907419038765917, -4.615041579780421
2.990164057985579, -5.724003215838
3.9909366128181287, -8.915282767630583
4.990672813607015, -10.508504384091651
5.989906539708063, -11.326910031907143
6.987161771725749, -9.094477803180663
7.958005677963973, -6.135781222520919
8.969235987237143, -5.452918121749619
9.96887797402206, -6.900861744089646
