0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.77,16,11
0.77,16,11
0.77,16,11
0.77,16,11
0.21,13.8,17
0.57,45,27
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.15,45,18
0.48,25.3,26
0.39,40,10
0.63,34,27
1.88,15,24
0.28,47.7,14
0.22,44.6,14
0.17,44.7,14
0.21,36,8
0.39,29.5,12
0.38,30,11
0.38,30,11
0.38,30,11
0.28,30.4,12
0.25,35,5
0.25,35,5
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.8,22,12
0.48,27,10
0.41,34.2,12
0.11,27.2,17
0.54,20.4,17
0.25,41.7,17
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.36,18.5,7
0.77,16,11
0.77,16,11
0.77,16,11
0.77,16,11
0.21,13.8,17
0.57,45,27
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.36,8.6,7
0.15,45,18
0.48,25.3,26
0.39,40,10
0.63,34,27
1.88,15,24
0.28,47.7,14
0.22,44.6,14
0.17,44.7,14
0.21,36,8
0.39,29.5,12
0.38,30,11
0.38,30,11
0.38,30,11
0.28,30.4,12
0.25,35,5
0.25,35,5
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.48,27,10
0.8,22,12
0.48,27,10
0.41,34.2,12
0.11,27.2,17
0.54,20.4,17
0.25,41.7,17
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.71,17.3,16
0.6,15.5,11.5
0.17,58.6,9
0.16,49,9
0.24,52,27
0.1,115,6
0.3,65,1
0.17,68.6,4
0.15,100.3,4
0.13,129,2.5
0.2,132,8
0.2,132,8
0.1,134,8
0.1,134,8
0.14,51.5,26.9
0.57,19.8,18
0.08,59,0
0.06,81.1,-0.5
0.07,60,-0.8
0.11,72.5,1.5
0.1,42.6,0
0.11,55.2,-0.5
0.09,50,-0.8
0.15,58.5,1.5
0.05,215,5
0.51,36.7,20
0.54,38.7,20
1.3,65.1,25
1.3,65.1,25
1.3,65.1,25
1.3,65.1,25
1.3,65.1,25
0.12,280,7
0.48,45.3,26
0.48,47.2,26
0.38,46.3,26
0.09,92.2,10
0.09,86.5,10
0.32,25.4,25.7
0.45,31.3,25.7
0.38,58.5,25.7
0.23,62.2,26.9
0.29,72.8,25.7
0.31,20.7,25.7
0.35,38.6,26.9
0.14,79.2,25.7
0.85,24.5,25.7
0.2,68,8
0.35,32.7,20
0.35,32.7,20
1,30.5,27
0.42,24.5,28
0.07,107.9,24
0.13,68,12
0.15,45,7
0.08,70,7
0.24,43.6,15
0.93,9.3,10
0.93,9.3,10
0.26,46.7,26
3.38,20.9,28
1.34,65.2,25
1.01,73.2,25
0.53,20.7,27
0.45,29.3,15
0.4,30.5,15
0.7,17,15
0.13,42.6,8
0.09,56.8,8
0.09,38.3,8
0.11,30.1,12
0.08,37.5,12
0.54,17.1,12
0.19,48.6,8
0.14,52.8,8
0.1,62.1,8
0.17,39.3,8
0.13,44.5,8
0.1,34.9,8
0.3,23.8,17
0.6,28.1,27.5
0.35,16.5,17
0.23,124.7,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,166.4,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.14,186.9,26
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,181.7,25
0.25,51.1,12
0.23,38.5,12
0.59,19.3,9
0.44,19,9
0.45,21.5,8.5
0.53,21.6,9
0.61,26.4,9
0.05396,212,13.5
0.5847,15.7,10.5
0.3295,39.73,10
0.2495,38.54,10
0.3545,32.89,10
0.4769,58.58,10.5
0.2921,57.62,8.9
0.4157,42.02,10
0.9546,15.52,13.5
0.4656,45.96,10
0.2101,94.87,10
0.4016,70.36,10
0.0263,84.8,10
0.1661,44.16,10
0.3329,25.26,10
0.1265,103.6,23.5
0.1142,54.6,10
0.9366,6.172,15
1.667,5.058,21
0.2075,126.5,10
0.09768,100.9,10
0.08626,89.86,10
0.08626,77.28,10
0.1308,108.9,10
0.2,10.65,10.5
1.091,12.4,11.5
1.019,5.241,10.5
1.777,4.128,10.5
0.5047,23.28,28
0.0717,50.92,10.5
0.335,15.21,17
0.1415,6.186,10
0.1292,7.162,10
0.1615,31.79,11
3.542,12.96,37
0.1758,74.63,22.5
0.335,59.5,22.5
0.2725,63.53,22.5
0.1155,137.3,17.5
0.7305,14.09,11.5
0.1481,274.5,28
0.06623,368.9,10.5
0.4011,6.955,11.5
2.466,4.88,11
0.4165,17.48,10.5
0.2082,21.39,11.5
0.479,7.989,10.5
0.5628,6.582,10
0.6826,6.372,11
0.2464,15.05,11.5
0.4544,9.355,11
0.04797,63.27,8.5
0.2165,66.94,8.5
0.3247,49.53,8.5
0.095,14.21,10.5
0.42,7.841,10.5
