"Species","Age","IndividualWeight"
"Clupea harengus",0,13.6894227951948
"Gadus morhua",0,18.7014028056112
"Pleuronectes platessa",0,19.2439024390244
"Sprattus sprattus",0,3.08805031446541
"Clupea harengus",1,56.5376266280753
"Gadus morhua",1,238.089923664122
"Pleuronectes platessa",1,66.0288461538462
"Sprattus sprattus",1,10.3028273809524
"Clupea harengus",2,121.503329105897
"Gadus morhua",2,930.74228337672
"Pleuronectes platessa",2,130.356111111111
"Sprattus sprattus",2,15.4441519368184
"Clupea harengus",3,154.835083226633
"Gadus morhua",3,2389.69901719902
"Pleuronectes platessa",3,211.095867460908
"Sprattus sprattus",3,19.508152173913
"Clupea harengus",4,187.485540334855
"Gadus morhua",4,4037.41258741259
"Pleuronectes platessa",4,287.367630700779
"Sprattus sprattus",4,22.4066147859922
"Clupea harengus",5,209.054192229039
"Gadus morhua",5,5883.05775075988
"Pleuronectes platessa",5,349.682044323835
"Sprattus sprattus",5,23.7236180904523
"Clupea harengus",6,229.611260053619
"Gadus morhua",6,7261.40397350993
"Pleuronectes platessa",6,378.862633451957
"Sprattus sprattus",6,23.2133333333333
"Clupea harengus",7,249.565128205128
"Gadus morhua",7,8799
"Pleuronectes platessa",7,404.744498777506
"Sprattus sprattus",7,25
"Clupea harengus",8,262.998556998557
"Gadus morhua",8,10103.6451612903
"Pleuronectes platessa",8,418.078853046595
"Sprattus sprattus",8,25
"Clupea harengus",9,262.493554327808
"Gadus morhua",9,12518.3333333333
"Pleuronectes platessa",9,432.803921568627
"Clupea harengus",10,270.163580246914
"Gadus morhua",10,14100
"Pleuronectes platessa",10,431.983402489627
"Clupea harengus",11,292.145539906103
"Pleuronectes platessa",11,423.945205479452
"Clupea harengus",12,302.416666666667
"Pleuronectes platessa",12,491.636363636364
"Clupea harengus",13,322.78125
"Pleuronectes platessa",13,450.185185185185
"Clupea harengus",14,320.2
"Pleuronectes platessa",14,455.378378378378
"Pleuronectes platessa",15,589.977272727273
"Pleuronectes platessa",16,662.68
"Pleuronectes platessa",17,764.529411764706
"Pleuronectes platessa",18,666.333333333333
"Pleuronectes platessa",19,545
"Pleuronectes platessa",20,411
"Pleuronectes platessa",21,227
"Pleuronectes platessa",22,346.5
"Pleuronectes platessa",25,540
"Pleuronectes platessa",27,893
